id,emotion,sentence,emotion_index,is_control
153,sadness,Looking at the old photos left a heaviness in my chest.,3,False
154,sadness,The silence after the call was heavy and painful.,4,False
155,sadness,I could not stop thinking about what I had lost.,5,True
156,sadness,The rainy afternoon matched my mood perfectly.,6,False
157,sadness,I felt tears gathering before I even knew why.,7,False
158,sadness,His absence made the whole place feel colder.,8,False
159,sadness,I missed her more than I expected.,9,False
160,sadness,The disappointment sat quietly in my chest.,10,True
161,sadness,I felt lonely in the middle of the crowd.,11,False
162,sadness,The news left me struggling to hold back tears.,12,False
163,sadness,I struggled to smile through the rest of the evening.,13,False
164,sadness,Everything felt muted and far away.,14,False
165,sadness,I wished things could go back to how they were.,15,True
166,sadness,The memory made my eyes sting.,16,False
167,sadness,I lay in bed feeling empty.,17,False
168,sadness,I felt abandoned when nobody answered.,18,False
169,sadness,The ending of the film left me staring silently at the screen.,19,False
170,sadness,His voice sounded heavy and defeated.,20,True
171,sadness,"She packed her things, and the room felt unbearably quiet.",21,False
172,sadness,I felt a deep ache that I could not explain.,22,False
173,sadness,"The words stayed stuck in my throat.
",23,False
174,sadness,I kept replaying the moment in my mind.,24,False
175,sadness,There was a heaviness in me all day.,25,True
176,sadness,I felt down after reading the letter.,26,False
177,sadness,The loss took the color out of everything.,27,False
178,sadness,"I wanted the world to stop.
",28,False
179,sadness,I felt fragile and withdrawn.,29,False
180,sadness,The empty chair at the table felt impossible to ignore.,30,True
181,sadness,"I pretended everything was fine, but it wasn't.
",31,False
182,sadness,I wished she had never said those words.,32,False
183,sadness,The house felt too quiet after they left.,33,False
184,sadness,I felt broken by the time I got home.,34,False
185,sadness,The apology came too late to undo the pain.,35,True
186,sadness,I had no energy to talk to anyone.,36,False
187,sadness,The song reminded me of someone I missed.,37,False
188,sadness,I felt like I was carrying a weight inside me.,38,False
189,sadness,His disappointment in me was hard to bear.,39,False
190,sadness,The day ended with a lingering sense of loss.,40,True
191,sadness,I felt numb after hearing the news.,41,False
192,sadness,I sat by the window feeling low.,42,False
193,sadness,The forgotten birthday stayed with me all day.,43,False
194,sadness,"I did not know who to turn to in that moment.
",44,False
195,sadness,The missed chance stayed with me painfully.,45,True
196,sadness,I could not shake the heaviness from the morning.,46,False
197,sadness,Her absence was felt in every corner of the room.,47,False
198,sadness,I felt defeated.,48,False
199,sadness,"After the argument, I sat alone staring at the wall.",49,False
200,sadness,I walked home with a heavy heart.,50,False
